Reference, Value, Footprint, Datasheet
"J_CLEAN_IN1","JACK__MONO_2P_NC","custom_sockets:JackSocket_Mono_PCB",""
"J_OU1","JACK__MONO_2P_NC","custom_sockets:JackSocket_Mono_PCB",""
"J_POWER1","_Barrel_Jack","custom_sockets:BARREL_JACK",""
"C_CLEAN_IN1","4.7uF","Capacitors_SMD:C_0805_HandSoldering",""
"U_NEG1","_TC7662B","SMD_Packages:SOIC-8-N",""
"C2_NEG1","10uF","Capacitors_SMD:CP_Elec_4x5.3",""
"C1_NEG1","10uF","Capacitors_SMD:CP_Elec_4x5.3",""
"U_OA_MIX1","_TL071","SMD_Packages:SOIC-8-N",""
"U_OACLEAN_IN1","_TL071","SMD_Packages:SOIC-8-N",""
"R_MIX_F1","10K","Resistors_SMD:R_0805_HandSoldering",""
"MIX1","B100K","Potentiometers:Potentiometer_Bourns_PTV09A-1_Horizontal",""
"R_MIX_G1","10K","Resistors_SMD:R_0805_HandSoldering",""
"U_OA_FXVOL1","_TL071","SMD_Packages:SOIC-8-N",""
"FXVOL1","B1K","Potentiometers:Potentiometer_Bourns_PTV09A-1_Horizontal",""
"R_FXVOL1","560R","Resistors_SMD:R_0805_HandSoldering",""
"J_DIRTY_IN1","JACK__MONO_2P_NC","custom_sockets:JackSocket_Mono_PCB",""
"SW_INSW1","SW_SPDT","custom_sw:SW_SPDT_W6.86MM_L12.7MM_P4.8MM_D2MM",""
"C_DIRTY_IN1","4.7uF","Capacitors_SMD:C_0805_HandSoldering",""
"D_IN1","_Schottky","Diodes_SMD:D_SOD-123F",""
"C_PWRBY1","10uF","Capacitors_SMD:C_0805_HandSoldering",""
"SW_BYPASS1","SW_3PDT_on_on","custom_sw:SW_3PDT_W18MM_L17.3MM_P5.3MM_D2MM_PCBPin",""
"D_ON1","LED","LEDs:LED_D5.0mm",""
"J_AUX2MAIN_INSW1","Conn_01x04","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm",""
"J_MAIN2AUX_INSW1","Conn_01x04","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm",""
"J_AUX2MAIN_VOL1","Conn_01x06","Pin_Headers:Pin_Header_Straight_1x06_Pitch2.54mm",""
"J_MAIN2AUX_VOL1","Conn_01x06","Pin_Headers:Pin_Header_Straight_1x06_Pitch2.54mm",""
"J_MAIN2AUX_LED1","Conn_01x04","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm",""
"J_AUX2MAIN_LED1","Conn_01x04","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm",""
"R_LED1","2K7","Resistors_SMD:R_0805_HandSoldering",""
"C_OABY1","100nF","Capacitors_SMD:C_0805_HandSoldering",""
"C_OABY5","100nF","Capacitors_SMD:C_0805_HandSoldering",""
"C_OABY3","100nF","Capacitors_SMD:C_0805_HandSoldering",""
"C_OABY2","100nF","Capacitors_SMD:C_0805_HandSoldering",""
"C_OABY4","100nF","Capacitors_SMD:C_0805_HandSoldering",""
"C_OABY6","100nF","Capacitors_SMD:C_0805_HandSoldering",""
"C_PWRBY2","100nF","Capacitors_SMD:C_0805_HandSoldering",""
"R_OA_IN1","2K7","Resistors_SMD:R_0805_HandSoldering",""
"C_SUSTAIN1","47nF","Capacitors_SMD:C_0805_HandSoldering",""
"C_VCO1","22nF","Capacitors_SMD:C_0805_HandSoldering",""
"C_LPF1","470nF","Capacitors_SMD:C_0805_HandSoldering",""
"U_OAFX_IN1","_TL071","SMD_Packages:SOIC-8-N",""
"SWING1","B1M","Potentiometers:Potentiometer_Bourns_PTV09A-1_Horizontal",""
"U_PLL1","_4046","SMD_Packages:SO-16-N",""
"DAMPEN1","B100K","Potentiometers:Potentiometer_Bourns_PTV09A-1_Horizontal",""
"C_SH1","100nF","Capacitors_SMD:C_0805_HandSoldering",""
"U_OAFX_OUT1","_TL071","SMD_Packages:SOIC-8-N",""
"TRIG1","B10K","Potentiometers:Potentiometer_Bourns_PTV09A-1_Horizontal",""
"FMOD1","B50K","Potentiometers:Potentiometer_Bourns_PTV09A-1_Horizontal",""
"R_OA_OUT1","2K7","Resistors_SMD:R_0805_HandSoldering",""
"R_OA_OUT_F1","15R","Resistors_SMD:R_0805_HandSoldering",""
"SW_WAVE1","SW_SPDT","custom_sw:SW_SPDT_W6.86MM_L12.7MM_P4.8MM_D2MM",""
"C_SAW1","10nF","Capacitors_SMD:C_0805_HandSoldering",""
"R_SAW2","1K","Resistors_SMD:R_0805_HandSoldering",""
"R_SAW1","2K7","Resistors_SMD:R_0805_HandSoldering",""
"U_NEG2","_TC7662B","SMD_Packages:SOIC-8-N",""
"C2_NEG2","10uF","Capacitors_SMD:CP_Elec_4x5.3",""
